centile,observations,WM-hypointensities,Right-Lateral-Ventricle,Right-Amygdala,CortexVol
0.5,737,1152.6410724673624,9355.49166002106,1820.0248010416897,503037.3637552828
0.5,929,1234.0499148269555,5944.478375622286,1577.8052275203115,487525.3729726481
0.5,735,1945.7050386758956,8936.004568041233,1899.4210881141582,473642.9588003846
0.5,727,1096.0266632740245,7863.211954218368,1574.604190068365,442646.0099393943
0.5,952,1255.658997648638,6822.152211248457,1602.442210481264,490525.1886725494
0.5,733,1388.2789069822634,7642.951573212639,1611.721287896261,442350.6732305022
0.5,948,1255.658997648638,6822.152211248457,1602.442210481264,490525.1886725494
0.5,899,1234.0499148269555,5944.478375622286,1577.8052275203115,487525.3729726481
0.5,709,1478.021605772405,7634.711336263343,1622.6312875392596,439848.9297697962
0.5,700,1924.3447163452126,8885.353749337824,1905.1549020337955,480680.5437027442
0.5,893,1255.658997648638,6822.152211248457,1602.442210481264,490525.1886725494
0.5,703,1765.7133055928057,7964.676358336154,1584.8786157042912,400917.88992904604
0.5,889,1460.7857988479775,7064.632299459897,1843.9422595044148,552306.8239200743
0.5,954,1460.7857988479775,7064.632299459897,1843.9422595044148,552306.8239200743
0.5,984,1482.39488166966,7942.306135086068,1868.5792424653673,555306.6396199755
0.5,938,1234.0499148269555,5944.478375622286,1577.8052275203115,487525.3729726481
0.5,955,1255.658997648638,6822.152211248457,1602.442210481264,490525.1886725494
0.5,980,1255.658997648638,6822.152211248457,1602.442210481264,490525.1886725494
0.5,732,1718.9691546548736,7815.850644203622,1633.284056130055,408861.5078529585
0.5,701,1152.6410724673624,9355.49166002106,1820.0248010416897,503037.3637552828
0.5,913,1255.658997648638,6822.152211248457,1602.442210481264,490525.1886725494
0.5,961,1255.658997648638,6822.152211248457,1602.442210481264,490525.1886725494
0.5,890,1460.7857988479775,7064.632299459897,1843.9422595044148,552306.8239200743
0.5,950,1547.8391818564394,9089.27389809843,1898.5482857420193,556819.3705420522
0.5,936,1460.7857988479775,7064.632299459897,1843.9422595044148,552306.8239200743
0.5,898,1255.658997648638,6822.152211248457,1602.442210481264,490525.1886725494
0.5,972,1234.0499148269555,5944.478375622286,1577.8052275203115,487525.3729726481
0.5,933,1255.658997648638,6822.152211248457,1602.442210481264,490525.1886725494
0.5,698,1478.021605772405,7634.711336263343,1622.6312875392596,439848.9297697962
0.5,914,1255.658997648638,6822.152211248457,1602.442210481264,490525.1886725494
